<BondForcePoints> 			
  0.74161110E+05 -0.44219050E+08  0.10518513E+11 -0.80423698E+12  0.25369157E+05 -0.14208931E+08  0.33259943E+10 -0.25305501E+12 	 0.27095966E+03 -0.20860818E+05  0.37580520E+07 -0.27352838E+09			
  0.21363166E+05 -0.11795842E+08  0.56930908E+10 -0.10517545E+13  0.82308309E+04 -0.39416143E+07  0.18076643E+10 -0.33048035E+12 	 0.24208200E+03 -0.91109502E+04  0.21168815E+07 -0.35402365E+09			
  0.12129808E+05 -0.16445327E+07 -0.61743594E+09  0.18583296E+12  0.49344165E+04 -0.67672146E+06 -0.17521784E+09  0.56646330E+11 	 0.22949544E+03 -0.48917075E+04 -0.72603428E+04  0.48452508E+08			
  0.78576629E+04 -0.18842810E+07  0.49756179E+09 -0.78678351E+11  0.33332729E+04 -0.69783688E+06  0.16466013E+09 -0.25097140E+11 	 0.22007060E+03 -0.43393188E+04  0.28345469E+06 -0.30421614E+08			
  0.54499212E+04 -0.83817405E+06  0.25491688E+08  0.91522311E+10  0.23954625E+04 -0.34036203E+06  0.14077294E+08  0.25122380E+10 	 0.21228241E+03 -0.35705593E+04  0.10092495E+06 -0.61503506E+06			
  0.39487577E+04 -0.62638053E+06  0.80405074E+08 -0.82770825E+10  0.17911455E+04 -0.25390600E+06  0.29150722E+08 -0.27824950E+10 	 0.20554007E+03 -0.31742397E+04  0.97234750E+05 -0.49775240E+07			
  0.29514003E+04 -0.40408522E+06  0.30742579E+08 -0.94635197E+09  0.13776765E+04 -0.17069305E+06  0.12455752E+08 -0.42727613E+09 	 0.19954071E+03 -0.28450312E+04  0.67369609E+05 -0.19809176E+07			
  0.22586294E+04 -0.29247113E+06  0.25064467E+08 -0.15985348E+10  0.10826952E+04 -0.12599736E+06  0.98920952E+07 -0.58714048E+09 	 0.19410428E+03 -0.25993237E+04  0.55484102E+05 -0.17533020E+07			
  0.17611567E+04 -0.21139568E+06  0.15473258E+08 -0.71783595E+09  0.86557170E+03 -0.93474663E+05  0.63692523E+07 -0.28590009E+09 	 0.18911354E+03 -0.23984268E+04  0.44964289E+05 -0.11853752E+07			
  0.13945157E+04 -0.15811667E+06  0.11166243E+08 -0.54833904E+09  0.70181218E+03 -0.71428454E+05  0.46538518E+07 -0.21547394E+09 	 0.18448706E+03 -0.22327942E+04  0.37852039E+05 -0.92285681E+06			
  0.11185606E+04 -0.12003177E+06  0.78762084E+07 -0.34870750E+09  0.57584689E+03 -0.55398735E+05  0.33610081E+07 -0.14139637E+09 	 0.18016550E+03 -0.20924602E+04  0.32314895E+05 -0.71364981E+06			
  0.90721224E+03 -0.92711428E+05  0.57839634E+07 -0.24774844E+09  0.47736228E+03 -0.43651459E+05  0.25126299E+07 -0.10167480E+09 	 0.17610413E+03 -0.19717644E+04  0.28032996E+05 -0.57174312E+06			
